chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D5	0.0	mmu-mir-669d-3p	6128	no	D5H	4.0916740987	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669d-3p	6128	no	D8H	4.60733083152	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669d-3p	6128	no	1⁰iPSC	5.37204941824	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669d-3p	6128	no	2⁰iPSC	4.77223761335	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669d-3p	6128	no	ESC	4.96899100038	ESC	ESC	ESC	
D0	0.0	mmu-mir-669i	6128	no	2°MEF	None	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669i	6128	no	D11H	-2.5468389466	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669i	6128	no	D16H	None	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669i	6128	no	D16L	-0.567858465618	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669i	6128	no	D18H	None	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669i	6128	no	D2H	None	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669i	6128	no	D21Ø	-1.21684469146	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669i	6128	no	D21L	-1.7363326693	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669i	6128	no	D5H	-3.09815046077	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669i	6128	no	D8H	-1.83561266456	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669i	6128	no	1⁰iPSC	None	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669i	6128	no	2⁰iPSC	-1.2164470733	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669i	6128	no	ESC	-3.22083355795	ESC	ESC	ESC	
D0	0.0	mmu-mir-669l-3p	6128	no	2°MEF	2.67916548954	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669l-3p	6128	no	D11H	4.97279730595	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669l-3p	6128	no	D16H	5.33609141053	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669l-3p	6128	no	D16L	4.61039140053	D16L	Low Dox	Day 16	
